철도운영기관명,선명,역명,지상지하구분,역층,출입구번호,상세위치,이용가능시간,전화번호
코레일,1호선,도봉,지상,1,1,(1F) 맞이방 옆 1번 출입구 방향,05:00~00:00,02-3493-8874
코레일,1호선,도봉,지상,1,2,(1F) 맞이방 옆 2번 출입구 방향,05:00~00:00,02-3492-8874
코레일,1호선,월계,지상,2,1,역무실,04:30 ~ 24:00,02-900-4822
코레일,1호선,외대앞,지상,2,,역무실,04:30 ~ 24:00,02-966-6705
코레일,1호선,구일,지상,1,1,( 1F ) 1번 출입구방향,05:00~00:00,02-865-6190
코레일,1호선,온수,지상,2,7,(2F) 맞이방 고객센터/ 7번 출입구 방향,05:00-00:00,02-2639-3461
코레일,1호선,역곡,지상,2,,(2F)대합실 역무실,05:00~24:00,02-2639-3434
코레일,1호선,송내,지상,2,,(2) 역무실 입구,05:00 ~ 00:00,032-662-7788
코레일,1호선,성균관대,지상,3,1,(1F) 맞이방 1번 출입구 방향,09:00~00:00,031-293-7788
코레일,1호선,소요산,지상,1,1,1번출구/ 게이트 앞,06:00~24:00,031-865-7788
코레일,1호선,연천,지상,2,3,2층 3번출구 자동발매기 우측,06:00~24:00,031-834-7561
코레일,1호선,회룡,지상,3,3,(3F) 3번출입구 방향 역무실,05:00~24:00,031-872-7744
코레일,1호선,망월사,지상,1,3,역무실,04:30~24:00,031-873-7788
코레일,1호선,도봉산,지상,2,1,(2F) 역무실,05:00 ~ 00:30,02-955-7345
코레일,1호선,방학,지상,1,1,역무실,04:30 ~ 24:00,02-3492-0197
코레일,1호선,녹천,지상,2,3,역무실,04:30 ~ 24:00,02-905-0182
코레일,1호선,석계,지하,1,1,(B1) 대합실 내 역무실,05:00 ~ 24:00,02-943-7788
코레일,1호선,신이문,지상,1,1,역무실,04:30 ~ 24:00,02-960-1871
코레일,1호선,회기,지상,2,1,2층 대합실 고객센터/ 1번 2번 출입구 방향,04:30~00:10,02-965-1467
코레일,1호선,용산,지상,3,,(3F) 북쪽 타는곳 12/13번 승강장 옆,05:00~24:00,02-749-3583
코레일,1호선,영등포,지상,3,1,(3F) 표(기차) 사는 곳 옆,06:00 ~ 00:30,02-2639-3320
코레일,1호선,신도림,지상,1,,(2F) 게이트 옆 역무실,05:00~23:00,02-2639-3349
코레일,1호선,개봉,지상,2,2,(2) 2층 맞이방 북쪽게이트 옆 역무실,05:00~24:00,02-2639-3297
코레일,1호선,오류동,지상,2,3,(2) 맞이방 역무실,05:00 ~ 00:00,02-2639-3417
코레일,1호선,소사,지상,2,1,(2) 맞이방 역무실,05:00~23:00,02-2639-3242
코레일,1호선,부천,지상,3,2,(3) 맞이방 역무실,05:00~00:00,032-665-7775
코레일,1호선,도화,지상,2,1,역무실,05:00~24:00,032-863-1464
